plot,Rep,Row,Column,PINumber,Plant Height.sp,DaysToFlower.sp,TillersPerPlant.sp,StemDiameterLower.sp,StemDiameterUpper.sp,PaniclesPerPlant.sp,LeafNumber.sp,LeafLength.sp,LeafWidth.sp,SeedMassPerPlant.sp,SeedProtein.sp,SeedOil.sp,SeedAsh.sp,SeedStarch.sp,SeedMoisture.sp
4178,4,14,19,PI533799,0.906351413,66.21821872,0.316671868,19.3340004,9.591261698,1.085858749,10.13427414,66.29552552,8.135619045,34.05610056,14.97923709,4.361707518,1.684148368,71.83079696,8.085909846
4179,4,14,20,PI595733,0.974873566,66.2268915,0.651465365,NA,NA,1.086350019,10.79224968,65.7160316,7.236057173,48.56022223,12.90704682,4.414004018,1.522691453,73.32931364,7.935137352
4180,4,14,21,PI656025,1.188400593,64.27767612,0.315301515,NA,NA,1.086884711,10.95027037,63.30153738,7.663735242,43.31242641,13.69593108,4.516299621,1.458380956,74.71551194,8.318469614
4181,4,14,22,PI152651,1.261937059,59.87206286,1.648473108,NA,NA,1.837529946,10.44333363,64.22204291,6.938457385,33.01020831,15.39230019,2.953595196,1.560829508,71.45736464,7.826254707
4182,4,14,23,PI534163,0.900488704,68.00611766,0.646250168,22.84956961,9.294016005,1.088362261,11.10643673,59.39254825,8.179938825,36.47639649,15.26578853,4.120891603,1.594307952,71.70016082,8.147446548
4183,4,15,10,PI534004,1.219218919,76.00625784,0.258652402,NA,NA,1.054448947,11.86892866,59.97008874,6.690774639,33.38607489,13.89667202,4.465160677,1.656813589,72.46196751,8.115196504
4184,4,15,11,PI534159,0.832841474,71.85050204,0.266673739,NA,NA,1.059286839,12.1959055,63.30915024,7.496972519,16.70298721,16.75252077,3.492424846,1.798620217,67.63063206,9.558758568
4185,4,15,12,PI533859,1.056466372,74.69225946,0.274941714,NA,NA,1.06416733,13.01788761,62.35321181,7.167896914,24.1505366,15.48251149,4.604688673,1.68947956,72.59364499,8.569355015
4186,4,15,13,PI534114,0.975085646,68.04750328,0.618339669,20.95459194,8.728876511,1.069112909,10.67987833,57.15727342,6.668821456,32.43258819,15.08449504,4.096951804,1.574145412,69.2313542,8.28999885
4187,4,15,14,PI534079,1.24368789,65.43540265,0.456496338,NA,NA,1.074139204,10.33688152,59.41633503,6.775158825,48.71137373,13.58327338,4.279213799,1.532799684,73.06134778,8.230021307
